Название;Норма посадки;Почва;Свет
Агастахе гибридная Arizona Sun (Agastache hybrida);;легкие, плодородные, слегка влажная;полутень, солнце
Агастахе гибридная Arizona Sandstone (Agastache hybrida);;легкие, плодородные, слегка влажная;полутень, солнце
Аквилегия альпийская (Aquilegia alpina);;;
Аквилегия вееровидная Пумила Selection (Aquilegia flabellata var. pumila);;;
Аквилегия голубая гибр Dragon Fly Mix (Aquilegia caerulea);;легкие, плодородные, слегка влажная, хорошо дренированная;полутень, солнце
Аквилегия обыкновенная Biedermeier Mix (Aquilegia vulgaris);;легкие, плодородные, слегка влажная;тень, полутень
Аквилегия обыкновенная махровый микс (Aquilegia vulgaris);;легкие, плодородные, слегка влажная;тень, полутень
Алиссум скальный Golden Fall (Aurinia saxatilis);;;
Анемона многонадрезная Rubra (Anemone multifida);;каменистые, нетребователен, сухая, хорошо дренированная;полутень, солнце
Анемона хупейская Pink Saucer (Anemone hupehensis);;каменистые, нетребователен, сухая, хорошо дренированная;полутень, солнце
Арабис кавказский Catwalk White (Arabis caucasica);;рыхлые, нетребователен, слегка влажная;полутень, солнце
Арабис кавказский Catwalk Pink (Arabis caucasica);;рыхлые, нетребователен, слегка влажная;полутень, солнце
Армерия приморская Morning Star White (Armeria maritima);;нетребователен, влажная, хорошо дренированная;солнце
Армерия приморская Morning Star Deep Rose (Armeria maritima);;нетребователен, влажная, хорошо дренированная;солнце
Астильба арендса Bunter Zauber;;;
Астильба китайская (Astilbe chinensis);;;
Астра альпийская белая (Aster alpinus);;умеренно плодородные, сухая, хорошо дренированная;солнце
Астра альпийская Goliath (Aster alpinus);;умеренно плодородные, сухая, хорошо дренированная;солнце
Астра альпийская Pinkie (Aster alpinus);;умеренно плодородные, сухая, хорошо дренированная;солнце
Астра альпийская синяя (Aster alpinus);;умеренно плодородные, сухая, хорошо дренированная;солнце
Бузульник зубчатый (Ligularia detata);;рыхлые, плодородные, влажная, хорошо дренированная;полутень, солнце
Бузульник Пржевальского (Ligularia przewalskii);;нетребователен, влажная, хорошо дренированная;полутень, солнце
Бутелуа изящная Bad River (Bouteloua gracilis);;бедные, сухая, полусухая;солнце
Василек русский (Centaurea ruthenica);;нетребователен, сухая, хорошо дренированная;солнце
Вербейник ландышевый Lady Jane (Lysimachia clethroides);;нетребователен, влажная, хорошо дренированная;полутень, солнце
Вербейник монетчатый (Lysimachia nummularia);;нетребователен, слегка влажная, влажная;тень, полутень
Вербейник точечный (Lysimachia punctata);;нетребователен, плодородные, влажная, хорошо дренированная;полутень, солнце
Вербена копьевидная Blue Spires (Verbena hastata);;нетребователен, влажная, хорошо дренированная;солнце
Вербена копьевидная White Spires (Verbena hastata);;нетребователен, влажная, хорошо дренированная;солнце
